"Training Session","Í×áæÇÕàæÉÚæÏãç"
"*START REGION SAVE*","*ÉÜĞåÌ××æÀŞåÓÖáç*"
"Placed farming entity without orchard crops","ÂİçÕßåÈÖÙå×àçÒÖÙæÖæÄÚèÆÖãçÕÛæĞçÅÕå"
"Placed farming entity without non-orchard crops","ÂİçÕßåÃİÈÖÙå×àçÒÖÙæÖæÄÚèÆÖãçÕÛæĞçÅÕå"
" will be logged after parameter dump.","ËÕâÒÜæÓàĞÖæÎÖàåÏÖåÊßæËÕæÇÖæ."
"No controllable entity definitions available","ÂİçÕßåÉÚåÉÖãæÎæÄÚèĞçÅÕåÄÕãæÕæ"
"Did not place controllable entity","ÂİçÕßåÃâæÎæÉÚåÉÖãæĞçÅÕå"
"Not enough entity placement locations","ÂİçÕßåÒÖçÈßæÄÚèĞçÅÕåÃâæÎæÖİæÎæ"
"No entity definitions available","ÂİçÕßåÉÚå×ãæÄÚèĞçÅÕåÄÕãæÕæ"
"Not enough low-lying cave locations","ÄÕÖØÄÚèÄÖãæÍ×ÛçÖİæÎæÀÖæÈßæ"
"Not enough low-lying cave locations after location check","ÖİæÎæËÕàåÏØçÊßæÂİçÕßåÒÖçÈßæÄÚèÄÕÖØÄÖãæÍ×ÛçÖİæÎæ"
"Not enough mountain cave locations","ÂİçÕßåÒÖçÈßæÄÚèĞàÄÖãæÖİæÎæ"
"Not enough mountain cave locations after location check","ÖİæÎæËÕàåÏØçÊßæÂİçÕßåÒÖçÈßæÄÚèĞàÄÖãæÖİæÎæ"
"Swamp region count fails by ","ÎŞåÒÚçÄÕæÌ×ËÕæĞÖæĞÀÜæ"
"Desert region count fails by ","ÊÖâÂÙæÄÕæÌ×ËÕæĞÖæĞÀÜæÇÕŞå"
"Initial hill square count fails by ","ÏÖĞåÊÖØæĞàÌÕßÁÕãçÃâËÕæĞÖæĞÀÜæ"
"Not enough volcanos","ÂİçÕßåÒÖçÈßæÄÚèÊÖÙåĞà"
"Initial tundra square count fails by ","ÏÖĞåÅÜç×àçÁÕãçÃâËÕæĞÖæĞÀÜæ"
"Initial grassland square count fails by ","ÏÖĞåÊÖØæÓŞå×àçÁÕãçÃâËÕæĞÖæĞÀÜæ"
"Initial ocean square count fails by ","ÏÖĞåÊÖØæÊÜåÕâçÁÕãçÃâËÕæĞÖæĞÀÜæ"
"Initial glacier square count fails by ","ÏÖĞåÊÖØæÀÕãÏÖàÁÕãçÃâËÕæĞÖæĞÀÜæ"
"Hill region count fails by ","ĞàÌÕßÌ××æËÕæĞÖæĞÀÜæ"
"Not enough river start points before erosion","ÌÕáĞçÌÕàçÂİçÕßåÒÖçÈßæÄÚèÊÚçÇÕßçÌÕåÄÕàå"
"Tundra region count fails by ","ÅÜç×àçÌ××æËÕæĞÖæĞÀÜæ"
"Grassland region count fails by ","ÓŞå×àçÄÕæÌ×ËÕæĞÖæĞÀÜæ"
"Ocean region count fails by ","ÊÜå×æËÕæĞÖæĞÀÜæ"
"Glacier region count fails by ","ÀÕãÏÖàÌ××æËÕæĞÖæĞÀÜæ"
"Forest region count fails by ","ÔáÇÕáçÌ××æËÕæĞÖæĞÀÜæ"
"Mountain region count fails by ","ĞàÂÜæÌ××æËÕæĞÖæĞÀÜæ"
"Not enough partial edge oceans","ÂİçÕßåÒÖçÈßæÄÚèÀÖæÃáÀÕà×àçÊÜåÕâç"
"Not enough complete edge oceans","ÂİçÕßåÒÖçÈßæÄÚèÖàçÎãåÀÕà×àçÊÜåÕâç"
"Not enough medium altitudes after shift down","ËÕâæÄâæÊßæÂİçÕßåÒÖçÈßæÄÚèÎÖãÄãåÈŞÄÖæ"
"Not enough low altitudes after shift down: ","ËÕâæÄâæÊßæÄÕÉÖãÀÖæÈßæ:"
"Not enough medium altitudes","ÂİçÕßåÒÖçÈßæÄÚèÎÖãÄãåÈŞÄÖæ"
"Initial forest square count fails by ","ÏÖĞåÔáÇÕáçÃâËÕæĞÖæĞÀÜæ"
"Initial mountain square count fails by ","ÏÖĞåĞàÂÜæÁÕãçÃâËÕæĞÖæĞÀÜæ"
"Initial swamp square count fails by ","ÏÖĞåÎŞåÒÚçÁÕãçÃâËÕæĞÖæĞÀÜæ"
"Initial desert square count fails by ","ÏÖĞåÊÖâÂÙæÁÕãçÃâËÕæĞÖæĞÀÜæ"
"Savagery not evenly distributed","ÕÛåÂàçÑáçÀÖæË×á×áçÃáÀÖæ"
"Volcanism not evenly distributed","ÊÖÙåĞàÊÖÙçÄÖãæÃáÀÖæÀÖæË×á×áç"
"Rainfall not evenly distributed: ","ËÕâæ×åÇÕâçÀÖæË×á×áçÃáÀÖæ:"
"Flat/rough areas not evenly distributed: ","ÁÕãçÅàå/ÓÖÓŞÌ××æÃáÀÖæÀÖæË×á×áç:"
"western","ÍÕÃâ"
"eastern","ÄÖãÀÖæ"
"Created in DF ","ÏÖâæËÕàæ×çDF"
" (out-lived)","(ÏÖĞßæÂÕãæ)"
" (out-lived ","(ÏÖĞßæÂÕãæ"
"No Children","ÂİçÕßåÍÕŞåÊÜç"
" Child","äçÅÖãç"
"Divorced","ÕåÇÕçÊÖá"
"Never Married","ÖİæÊÖá"
"Married","ÕåÊÖá"
" (d. ","(d."
"Worships ","ÏÖãçÀÜæ"
"Worshipped ","ÏÖãçÀÜæ"
" -- Ages","--ÆÕàçÇÕãç"
", Reign Began: ",",ÅÖãåÎæÉÜĞå:"
", Inherited",",ËÕæÏãç"
" d. ","d."
"Worship List","ÏÖãçÀÜæÌÕãÄà"
" List","ÇÕÛæÀÕŞå"
", *** New Line",",***ÍÕáÄÖİæ"
", *** Original Line",",***×àçĞåÍÕàæ"
" from maternal grandmother","ÇÜçÒæÖÜæÒÖåÂÖå"
" from maternal grandfather","ÇÜçÒæÖÜæÒÖåÃÖæ"
" from paternal grandmother","ÇÜçÒæÆÜåÆÜå"
" from paternal grandfather","ÇÜçÒæÒÖåÃÖæ"
" from mother","ÇÜçÒæÂÖåÌÕá"
" from father","ÇÜçÒæÃÖæÌÕá"
"Cannot generate random creatures -- missing creature variation ","ÖçÃØåĞãÏãçÔÖİçËÕĞãÖæ--Ì×ÛĞŞåĞãÖæÀÕàæÅÕå"
"outcast","ÌÕæäç"
"Unnumbered","ËÕÛæ×ãæ"
"visitor","ÀÜæÃâåÎÚå"
"Parent Civ: ","ËÕØÏâçÖáçÂÕãç:"
"Unnumbered ","ËÕÛæ×ãæ"
"Civilized World Population","ÖáçÂÕãçĞæËÕÛæÑáçÉßå"
"Total: ","Ì×àçÀÖæ:"
"Underground Animal Populations (Including Undead)","ÄÕæÍÕØæÄÖãæÖæÎÖãåÌ×áç(ÀŞÉÖÙæÖâçÇÕãç)"
" animated ","ÄÖãæÊÖØæ"
"Outdoor Animal Populations (Including Undead)","ÊÖæÖÜæÄÖãæÖæÎÖãåÌ×áç(ÀŞÉÖÙæÖâçÇÕãç)"
"Inappropriate Waterlevel Biome Choice (4)","ÀÖæĞæÄâÄÚèĞÖİåÖİæĞãÖæÌ×áçÍÕæÍ×àåÒÚç(4)"
"Inappropriate Waterlevel Biome Choice (2)","ÀÖæĞæÄâÄÚèĞÖİåÖİæĞãÖæÌ×áçÍÕæÍ×àåÒÚç(2)"
"shrine","ĞãæÓç"
"fortress entrance","ÀŞåÇİåÑÖæÉßå"
"trenches","ÈßÌ×ç"
"meadow","ÓŞåÄÕæ"
"pasture","ÂÖæÏâç"
"dormitory","ÔÖæĞÚæ"
"warehouse","ÓâÉÖæ"
"vault","ÈÖãåÄÕãå"
"no layer area available for historical figure","ÂİçÕßåÉÚå×ãæ×çÇÕæĞåÑáçÖæÄÚèÅÖçÓãçÌ××æ"
"Metal Furniture","ËÕáĞÖåËÕØË×æ"
"Stone Furniture","ĞçÎæËÕØË×æ"
"Wooden Furniture","ÂÖæÎæËÕØË×æ"
"Leather Goods","ÁÕçÈÚçÎæÁÕáå"
"Metal Crafts","ËÕáĞÖåÈÖãÕæÁÕáå"
"Leather Clothing","ÁÕçÕ"
"Woven Clothing","ÀÕàÎÃÖçÎÖâ"
"Imported Goods","ËÕáæÉßåÊÖÙæÖæ"
"barrow","ĞßåÅÖİÏÚ"
"market square","ĞæÏâç"
"shop","ÄÕàæ"
"house","ÃâçÒå"
"hillock","ĞàÌÕß"
"yard","ÂØå"
"cottage plot","ÍÕŞåÖ"
"building out of bounds: ","ËÕàæÎÖæ×ÛæËÕÛæ:"
"Imported Clothing","ËÕáæÉßåÃÖçÎÖâ"
"Imported Food","ËÕáæÉßåĞçÁÕáå"
" but","Äàæ"
" The ","ÎÚæ"
"Y Dimension","ÒÖãæÍÕâæÏåÓÖáæ"
"Rain","×å"
"Flux Stone Layer","ÑÖãçËÕæĞçÓãçËÕç"
"Aquifer (Light)","ÊàçĞÖİåÓãç(ÌÕã)"
"Aquifer (Heavy)","ÊàçĞÖİåÓãç(ÎÖãæ)"
"Underground River","àæÊÚç"
"Underground Pool","ÄÕæÍÕØæÕßç×ãåÏç"
"Magma Pool","ÕàçËÕâÏç"
"Click the map to zoom in and choose your embark location.","ÄÕàåËÕÄÕæÅÖçÃâæÄØæÀÕãæÍ×àåÒÚçÆÕáçÄÚèÄãÇÖæÄÕæÄÕàå."
"Click on the map to embark!  Right click to abort.","ÄÕàåËÕÄÕæÅÖçÉÜĞå!ÕßæËÕàæÄÕàåËÕÅÖİæÏÖ."
"Must embark on map.","ÀÕæÍ×ÒÜæÄÕæÅÖçĞâæÉÜĞå."
"Cannot embark on another site.","ÀÖæÆãçÒÜæÀÕÛçÄÚèÄÕæÃâÉÜĞå."
"Cannot embark entirely on water or mountains.","ÌÕåĞåÄÕæÄÕàåÀÖæÆãçÖàçÌ×àçÒÜæĞÖİåÇÕåÊÖÙæĞàĞâæ."
"Recommended size.","ÅÖİËÕàæÄØæÍÕŞå."
"N/A","ÖçÕŞæÌÕßç"
"X Dimension","ÊãçÍÕâæÏåÓÖáæ"
"Your dwarves might assume important positions.","ÆÕåÄÚèÜåÑáçÉÚåÆãçÊÖİæÄàÑáæÎÖãæÕŞæÎçÖæ."
"Click \Embark\ to place your fortress.  Right click to zoom out.","ÄÕàåËÕ\ÏÖÃØ\Í×àåÒÚçÆÕåÄÚèÕŞæÔÜÌÕåÄÕàå.ÕßæËÕàæÉÚåÕåÔÖÙÍÕŞå."
"Show elevation","ÍÕàåĞæÊÜåÀØç"
"Show cliffs/grade","ÍÕàåĞæÍ×àçÕØç/ÁÙÄÖæ"
" Clear find results ","ÌÕãÏÖçÍ×áçÎŞåËÕÛçÈÖÙå"
"Find embark location","Í×áçÎŞåÉÜĞåÄÕæÄÕàå"
"Reclaim/unretire","ÊÖİçĞß"
"Choose origin civilization","Í×àåÒÚçÌÕå×àçÖáçÂÕãç"
"It might be difficult to find resources.","ÉÚåÆãçÊáåÆàçÎŞåÄŞæÒ×àç."
"You have selected an area with salt water.","ÆÕáçÍ×àåÒÚçÇÕŞåÕÈÚæÕßåÕàçĞÖİåÄÚèÌ××æ."
"It might be very difficult to survive here.","ÎÚæÇÕåÉÚåÆãçÃİÏâçÆàçÕåĞãÓÖáç."
"You have selected an area with a heavy aquifer.","ÆÕáçÍ×àåÒÚçÇÕŞåÕÈÚæÊàçÕßåÄØæÇÕâçÊàçĞÖİåÓãçÄÚèÌ××æ."
"It might be very difficult to obtain stone here.","ÎÚæÇÕåÉÚåÆãçÃİÏâçÆàçÕåÊÖÙæÄÚçĞçÓÜç."
"You have selected an area with a light aquifer.","ÆÕáçÍ×àåÒÚçÇÕŞåÕÈÚæÊàçĞÖİåÓãçËÕŞæÌÕãÄÚèÌ××æ."
"Water might need to be pumped out or carried away.","ĞÖİåÉÚåÆãçÍ×ÕŞæÏßÏÖÊÖÙæÄÜæÒßå."
"Your selected civilization is dead or dying.","ÆÕåÔÖÙåÍ×àåÒÚçÄÚèÖáçÂÕãçÕåËÕãÔåÖâçÊÖÙæÔåÖâç."
"World debug","ĞæËÕÛæÄÕŞæĞæ"
" - coming soon!","-ËÕçËÕâÄŞæÇÜç!"
"You have selected the largest possible area.","ÆÕáçÍ×àåÒÚçÇÕŞåÒÖİæÄØæÄÚèÌ××æ."
"You have selected a very large area.","ÆÕåÍ×àåÒÚçÇÕŞåÕÈÚæÃİÏâçÄØæÄÚèÌ××æ."
"You have selected a large area.","ÆÕåÍ×àåÒÚçÇÕŞåÕÈÚæÊáåÄØæÄÚèÌ××æ."
"Choose a smaller area if you experience lag.","ÑÖçÈÖÙå×æÄŞæÕàçÏç,ÌÕãåÍ×àåÒÚçËÕŞæÍÕŞåÄÚèÌ××æ."
"You have selected the smallest possible area.","ÆÕáçÕåÍ×àåÒÚçËÕáæÉÚåÆãçÍÕŞåÄÚèÌ××æ."
"You have selected a narrow area.","ÆÕåÍ×àåÒÚçÇÕŞåÕÈÚæÍÕØçÎÜåÄÚèÌ××æ."
"Select a game type to begin!","Í×àåÒÚçÕÈÚæÕßçÍÕæÇİæÍÕãçÉÜĞå!"
"Back to title menu","ÃàåÊÖİçÄŞæÎÖåÓÜæÄà"
" point","ÄÕàå"
" remain","Óàç×ç"
" unpicked skill","ÖİæÍ×àåÌ×åÄÚèËÕæÆãç"
"I am ready!","ÖÙåÎÖáåÀİæÊŞåÇÕŞå!"
"Profile ","ÇÖáçÉÖÙæ"
"Miners","ÉÖâæÈÖã"
"Woodcutters","ÃØçÂÖæÈÖã"
"Your Animals","ÆÕåÄÚèÄÖãæÖæ"
"Available Animals","ÉÚå×ãæÄÖãæÖæ"
"Warning!  The following embark profile name is already in use:","ËÕãåÈŞæ!ÕåÍÕØæÌÕåÄÖãæÁİæÎæÖáçËÕàæÂÕãçÏãÕåÒÜæĞå×ãæÎÖã:"
"Overwrite","ÃÖæÈÜæ"
"Go back","ÃàåÊÖİç"
"To save these settings, choose a name for this embark profile:","ÑÖÙæÕŞæÀŞåÓÖáçÎÚæÍÕÛĞÚæÎæ,ÌÕãåÖİçÓåÉÜË×çÁİæÎæË×ÛçÄÕãæÕÈÚæÂÕãçÏã:"
"Are you sure?","ÆÕåÌ×ÛæÄÕãæÂÚè?"
"Your Citizens","ÆÕåÄÚèĞæÂÕáç"
"Available Skills","ÉÚå×ãæËÕæÆãç"
"skill picks left","Ğãæ×çËÕæÆãçÍ×àåÒÚç"
"skill pick left","Ğãæ×çËÕæÆãçÍ×àåÒÚç"
"Crucial","ÎæÈÖàÎÖãæÕŞæÄÚè"
"Your Items","ÆÕåÄÚèÖæÁÕáå"
"Points Left: ","Ğãæ×çÄÕàåĞÖæ"
"Available Items","ÉÚå×ãæÖæÁÕáå"
"Embark preparations were not completed.","ÉÜË×çÎÖáåÀİæĞâæÖİæÖàçÏãç."
"Fortress Name","ÕŞæÔÜÂÕãçÒæ"
"Group Name","ÍÕŞåÒÖåÂÕãçÒæ"
"Group Symbol","ÍÕŞåÒÖåÍÕâæÎã"
"Problems","ÂØçÃàç"
"Save Profile","ÀŞåÓÖáçÁİæÎæ"
"Embark!","ÉÜË×ç!"
"No dwarf in position ","ÂİçÕßåÜåÑáçÄÚèÖİæÎæ"
"Cannot afford ","ÏãçĞßæÀÖæÌÕå"
"  Prepare for the Expedition to ","ÖİçÅàæÍÕàåÒÖÙæÊŞåÎÖáåÀİæ"
"  Prepare for the Journey to ","ÖİçÇ×åÏãçÒÖÙæÊŞåÎÖáåÀİæ"
"Play now!","ÉÜÖàç"
"Start immediately with the default skills, equipment, and animals.","ÇÕæËÕçÉÜĞåĞå×ãæÂÙæÑáæËÕæÆãç,ĞÚæÀİæÊÚçÄÖãæÖæ."
"Prepare for the journey carefully","ÖİçÇ×åÏãçËÕãÍÕáÎÖáåÀİæ"
"Choose your own skills, equipment, and animals.","Í×àåÒÚçÆÕåÒæËÕåÄÚèËÕæÆãç,ĞÚæÀİæÊÚçÄÖãæÖæ."
"Inhabited","Ë×ÎÖæ"
"Reclaim!","ĞßÃÖæ!"
"Population: ","ÑáçÉßå:"
"Number of sites: ","ÈÖåËÕæĞÖæÇÕâç"
"Preparing map...","ÎãæÒÜæÎÖáåÀİæÄÕæÅÖç..."
"Could not give dwarf ","ÀÖæÆãçÈİåÜåÑáç"
" skill: ","ËÕæÆãç:"
"Searching ","ÏØçÎŞåÎÖã"
"Stop","ÅÕãçÎå"
"No match.","ÖçÁÕåÁİæ"
"Partial match.","ÀÖæÃáÁÕåÁİæ"
"Match found!","ÎŞåÄŞæÁÕåÁİæ"
"Begin","ÉÜĞå"
"Unretire ","ÀÖæÅÖİæÍÕß"
"Reclaim ","ĞßÃÖæ"
"Magma Pipe","ÕàçËÕâÈÖàåÄŞæ"
"Bottomless Pit","ÖçÄÕåÄÖãæ"
"Other Features","ÌÕçÅØÅÚæÍÕãæ"
"Soil","ÅÖåÑâå"
"Untamed wilds","ÖİæÍ×áæÃÖçÄÚèÊÖâÕÛå"
" Little","ĞŞåÇÕâç"
" Some","ÕÍÕÛ"
" Deep","ĞáÓãç"
"Nearest site: ","ÒÖİæËÕáæÄÚèÖİæÎæ:"
"1/2 day's travel","ÀàæÅÕàÄÚèÇ×åÏãç"
"No alert","ÂİçÕßåËÕãåÀŞæ"
"** Starting New Outpost **","**ÉÜĞåÍÕáÄÚèÌÕàçĞŞæ**"
"** Unretiring Outpost **","**ÀÖæÍÕÛæÄÚèÌÕàçĞŞæ**"
"** Starting Reclaim **","**ÉÜĞåÊÖİçĞß**"
"Neighbors:","ÇÕáçË×:"
"Hunters","ÇÕÛæÑáç"
"Planters","ÀÙÎÖãåÎÚå"
"Fishermen","×çÃÖ"
"Plant gatherers","ÎçÖæÓÜåËÕçÎÚå"
"Stonecutters","ĞçËÕâæ"
"Engravers","ÄÕŞÉÚæĞ"
"Haulers","Àà×áæÈÖã"
"Orderlies","ÊÖæÇÕå×àç"
"underground merchants (100,100,20)","ÄÕæÍÕØæĞâÑáç(100,100,20)"
"tavern (255,255,32)","ËÕßåÈÖàå(255,255,32)"
"well (0,0,255)","ËÕãå(0,0,255)"
"house (100,70,10)","ÃâçÒå(100,70,10)"
"cottage plot (30,100,10)","ÍÕŞåÖ(30,100,10)"
"mead hall (255,128,255)","ÂÕåÄÚçÄØæÅÕã(255,128,255)"
"temple (170,120,230)","ĞáçÂÕŞæ(170,120,230)"
"library (255,192,255)","ÅÖçĞÖÈÖàå(255,192,255)"
"wooden furniture shop (255,0,0)","ÂÖæÎæËÕØË×æÄÕàæ(255,0,0)"
"stone furniture shop (255,64,0)","ĞçÓÜçËÕØË×æÈÖãÃâ(255,64,0)"
"metal furniture shop (255,0,64)","ËÕáĞÖåËÕØË×æÄÕàæ(255,0,64)"
"fortress (129,129,129)","ÀŞåÇİå(129,129,129)"
"underground farming (50,20,50)","ÄÕæÍÕØæÆÖãçÕÛæ(50,20,50)"
"underground industrial (250,50,20)","ÄÕæÍÕØæÈÖãÕÛæ(250,50,20)"
"underground living (20,50,30)","ÄÕæÍÕØæĞãÊÖÙç(20,50,30)"
"underground guilds (20,100,20)","ÄÕæÍÕØæÍÕãçÊÖİæ(20,100,20)"
"bone carver shop (128,255,255)","ÈÖåÄÕŞÉÚæÄÕàæ(128,255,255)"
"gem cutter shop (0,255,0)","ÀŞåĞçÌÕÛÈÚÏÚËÕà(0,255,0)"
"metal weapons shop (255,0,255)","ËÕáĞÖåÖåÌÕæÄÕàæ(255,0,255)"
"wood weapons shop (255,128,128)","ÂÖæÎæÖåÌÕæÄÕàæ(255,128,128)"
"blacksmith shop (64,64,64)","ÅÕÛåËÕâæÁÖ(64,64,64)"
"armorsmith shop (0,0,0)","ÉÖİËÕØåÈÖãÃâ(0,0,0)"
"metal crafter shop (128,128,128)","ËÕáĞÖåÈÖãÕæÁÕáåÄÕàæ(128,128,128)"
"leather accessories shop (100,70,30)","ÁÕçË×æÁİæËÕàæÄÕàæ(100,70,30)"
"edible processed plants market (255,200,200)","Ğç×ãæÎçÖæËÕØÈÖãĞæÏâç(255,200,200)"
"general import store (192,192,192), border (128,128,128)","ÕÀàÊÖÙæÖæËÕáæÉßåĞâÄÕàæ(192,192,192),ÀÕàËÕÛæ(128,128,128)"
"food import store (128,192,128), border (128,128,128)","ĞçÁÕáåËÕáæÉßåĞâÄÕàæ(128,192,128),ÀÕàËÕÛæ(128,128,128)"
"clothing import store (255,255,255), border (128,128,128)","ÃÖçÎÖâËÕáæÉßåĞâÄÕàæ(255,255,255),ÀÕàËÕãæ(128,128,128)"
"cloth shop (200,200,200)","ÀÖæÄÕàæ(200,200,200)"
"tanning shop (128,100,50)","ÎæÈÚçÈÖãÃâ(128,100,50)"
"cloth clothing shop (255,255,100)","ÀÖæÃÖçÎÖâÄÕàæ(255,255,100)"
"leather clothing shop (255,128,64)","ÁÕçÈÚçÃÖçÎÖâÄÕàæ(255,128,64)"
"dormitory (50,75,75)","ËÕçÅÕåÔÖæĞÚæ(50,75,75)"
"dining hall (75,50,75)","ÈÖãÈÖãæĞçÅâç(75,50,75)"
"general import market (50,30,15)","ÕÀàÊÖÙæÖæËÕáæÉßåĞæÏâç(50,30,15)"
"food import market (50,40,15)","ĞçÁÕáåËÕáæÉßåĞæÏâç(50,40,15)"
"clothing import market (50,30,35)","ÃÖçÎÖâËÕáæÉßåĞæÏâç(50,30,35)"
"meat market (255,0,0)","ÑßæÇİæĞæÏâç(255,0,0)"
"edible produce market (0,255,0)","ĞçÁÕáåĞæÏâç(0,255,0)"
"cheese market (255,255,0)","ÆÜåÇŞæĞæÏâç(255,255,0)"
"dungeon-tower interface (50,20,50)","ÄÕæÇŞçÅØåËÕÛÉßå(50,20,50)"
"work pits (50,30,20)","ÈÖãÒÖÙæÉã(50,30,20)"
"COULD NOT NULLIFY CONSTRUCTION ROAD EDGE","ÀÖæÆãçĞåËÕàæÎÖæÇÖæÀÕà×àçÖçÍÕŞæ"
"castle tower (110,110,110)","ÏãçÀŞåÅØåÇßç(110,110,110)"
"castle wall (70,70,70)","ÏãçÌÕâç(70,70,70)"
"castle wall walkway (40,40,40)","ÏãçÀŞåÌÕâçÒßåÄŞæ(40,40,40)"
"warehouse (50,50,50)","ÓâÉÖæ(50,50,50)"
"You have located ","ÆÕåÎŞåÄŞæÇÕŞå"
"\, a ","\,ÕÈÚæ"
"main tower (255,0,255)","ÎÖåÅØå(255,0,255)"
"watch tower (128,128,128)","?ÖâæÅØå(128,128,128)"
"trenches (0,0,0)","ÈßÌ×ç(0,0,0)"
"monument","ËÕæÆÕàæÀİ"
"camp","ÕãçÄÕæ"
"important location","ÎÖãæÕŞæÖİæÎæ"
"Non-feature related elevation hole","ÃİÅÚæÎãÍÕâÈÖàÄÚèÈŞÏãçÉÖãå"
"hillocks","ÌÕßË×"
"pits","Éã"
"cave","ÄÖãæÍ×Ûç"
"forest retreat","ÔáÇÕáçÍÕßÌÕæÔÖÙå"
"hamlet","ÓÖáÎÖâ"
"labyrinth","ÂÕçÈÖã"
"monastery","ÍÕßÄŞæ×àæ"
"castle","ÏãçÀŞå"
"waste (0,20,0)","ÇâæÃİæ(0,20,0)"
"town yards (100,50,10)","ÍÕŞåÎáæÅÕãç×àæ(100,50,10)"
"abandoned (75,50,20), border (50,50,50)","ÀİæÕçÌÕæ(75,50,20),ÀÕàËÕãæ(50,50,50)"
"ruin (50,20,20), border (50,50,50)","ÃİæÍ×(50,20,20),ÀÕàËÕãæ(50,50,50)"
"fortress","ÕŞæÔÜ"
"mountain halls","Ğà×ÛæÅÕã"
"shrine (0,255,255)","ĞãæÓç(0,255,255)"
"crops 1 (255,195,0), rows","ÒÖÙæÖæ1(255,195,0),ÍÕãç"
"crops 2 (195,255,0), rows","ÒÖÙæÖæ2(195,255,0),ÍÕãç"
"crops 3 (100,60,20), rows","ÒÖÙæÖæ3(100,60,20),ÍÕãç"
"meadow (100,255,0)","ÓŞåÄÕæ(100,255,0)"
"pasture (0,255,0)","ÂÖæÏâç(0,255,0)"
"orchard (0,100,0)/(0,200,0)","ÈÖÙå×àç(0,100,0)/(0,200,0)"
"woodland (0,95,0)","ÇÕáçÄÕæ(0,95,0)"
"tends to speak very deliberately","ĞÖÙÊÖØæÒÖãåĞæÊáåËÕáåĞáæ"
"'s annoyed","ÊáåÆŞåÊÖÙå"
" breath when ","ÊÖÍÕÄÚèĞçÊßæ"
"mutters under ","ÄÕçÈÖĞã"
"starts to mutter under ","ÉÜĞåÄÕçÈÖÎÖÙç"
"'s trying to remember something","ĞæÅÖçËÕæÎÖæÕÍÕÛĞæÌÕãç"
"'s thinking","ÄÚèÍÕâåÃØå"
" gets excited","ÀÕàæÄÚçËÕÄÖãæ"
"'s excited","ÊáåÍÕãÃáæ"
"speaks rapidly when ","ÉÖÜæÄÕàåĞÖÙÊÖØæÄÚèĞçÊßæ"
"'s been surprised","ÊáåËÕãÕØæ"
" usually talks very quickly","ÅÖãÏâçĞÖÙÊÖØæÊáåÉÖÜæ"
" begins to speak very deliberately","ÉÜĞåÃİÏâçÉÚæÕæÄÕæĞÖÙÊÖØæ"
" becomes exasperated, ","ÀÕàæÄÚçÆŞåÆÖæ,"
"'s exasperated","ÀİæËÕÆÖæÇÕŞå"
"'s annoyed, ","ÊáåÆŞåÊÖÙå"
" generally speaks very slowly","ÅÖãÏâçĞÖÙÊÖØæÊáåÂàæ"
" starts to talk slowly","ÉÜĞåÂàæÂàæĞÖÙÊÖØæ"
"talks very quickly when ","ÊáåÉÖÜæËÕßæÊÖİæÅàç"
"begins to talk rapidly when ","ÉÜĞåÍ×áæÔÖæÄÕæËÕŞÅàçÄâ"
" tries to remember something","ĞæÅÖçÊÖİçÕæÕÍÕÛĞæÌÕãç"
" voice trails off whenever ","ĞãÕáÎÖçËÕàæËÕàåÑÖÙæÂİåÄâ"
" is thinking about something","ÎãæÒÜæÔÉŞåÕÍÕÛĞæÌÕãç"
" voice trails off when ","ĞãÕáÎÖçËÕàæËÕàåÑÖÙæÄâ"
"'s angry","ÄÚèÃáæÆÖæ"
"begins speaking in a monotone whenever ","ÂİåÄâÉÜĞåÄàÄÕŞæĞÖÙÊÖØæ"
"speaks very loudly","ÄØæĞãĞÖÙÄŞæ"
" is angered","ÊáåĞãÌÕæ"
" is bored","ÊáåÖçÇÕŞç"
"has a very monotonous way of speaking","ĞÖÙÊÖØæÃâĞæÊáåÄàÄÕŞæ"
" is excited","ÊáåÍÕãÃáæ"
" surprised","ÏØæÕæ"
"shouts when ","ÊàåĞáçÂÚèĞçÊßæ"
" is exasperated","ÀİæËÕÆÖæÇÕŞå"
"talks very loudly whenever ","ÂİåÄâÅàçÊÖØæĞçÄÖÊÖİæÄØæĞãĞÖÙÊÖØæ"
" is annoyed","ÊáåĞãÌÕæ"
"greets others very loudly","ÃİÏâçÄØæĞãÄÕæÖáæÊßæÀÕÛçÑáç"
"keeps ","ÀŞåÏç"
" is nervous","ÊáåËÕáåÎâ"
"starts yelling whenever ","ÂİåÄâÉÜĞåÄØæÊàåÄØæËÕŞæ"
"speaks very quietly","ÍÕŞåĞãĞÖÙÄŞæ"
"begins to talk louder when ","ÉÜĞåÄØæĞãĞÖÙÊÖØæ"
" gets angry","ÀÕàæÄÚçÃáæÆÖæ"
" is angry","ÊáåĞãÌÕæ"
" is trying to remember something","ĞæÅÖçÊÖİçÕæÕÍÕÛĞæ"
"'s nervous","ÊáåËÕáåÎâ"
"whispers when ","äå×åĞç"
"usually speaks in a whisper","ËÕãÏâçÍÕŞåĞãĞÖÙÊÖØæ"
" is thinking hard about something","ÎãæÒÜæÆÖåÇÕæÔÉŞåÂßåĞæ"
"will without fail turn any conversation to ","ÊÖİæÊŞçÀÖæÕßç×æÄÕæËÕâÑáæÊÚçÅàçÊÖØæÎÖàåÖİç"
"gives incredibly vague answers to questions","ÈİåÏÖÆàçÕåÎæÍÕáæÄÚèÂÙçÊÖÄØçàæ"
"'s nervous, ","ÊáåËÕáåÎâ"
